city, Quality of Life Index,Climate Index,Cost of Living Index,Health Care Index,Pollution Index,Property Price to Income Ratio,Purchasing Power Index,Safety Index,Traffic Commute Time Index,latitude,longitude
Matera,,91.89,,97.22,0.0,,,79.26,30.0,40.4476419,16.47357384028852
Messina,,97.52,,22.22,60.1,4.71,,61.76,41.0,38.1937571,15.554208199999998
Mestre,,,,62.04,70.69,3.75,,41.67,23.0,45.4943063,12.2418053
Milan,113.66,88.12,73.31,71.5,67.62,19.58,51.15,50.61,36.17,45.4641943,9.1896346
Modena,142.05,87.99,65.97,77.82,59.68,7.56,69.81,54.55,39.33,44.5384728,10.93596087053074
Monza,139.71,88.23,62.41,66.2,58.88,7.08,75.69,53.76,41.55,45.639544,9.278869369225038
Naples,105.83,95.76,56.42,60.12,79.0,11.19,59.72,37.35,46.41,40.8358846,14.248767899999999
Olbia,,94.59,,25.0,33.62,5.55,,55.64,5.0,40.9232659,9.5027442
Padova,136.49,92.84,61.79,72.54,66.82,8.97,59.27,54.34,29.31,45.4077172,11.8734455
Palermo,139.51,97.63,53.36,61.71,67.2,5.41,64.76,55.89,32.06,38.1112268,13.3524434
Parma,143.69,87.98,65.42,65.0,65.37,6.82,64.87,62.55,23.83,44.8013678,10.3280833
Pavia,139.21,88.36,57.14,70.56,54.02,10.32,51.3,62.8,36.67,45.03685465,9.137825082826026
Perugia,149.81,90.33,55.53,59.07,43.87,12.72,66.76,58.78,25.0,43.1070321,12.402996209906489
Pescara,132.06,90.29,60.67,58.53,61.53,6.42,58.17,51.93,34.33,42.3102619,13.95759010584892
Piacenza,,86.49,,60.74,49.14,7.38,,69.59,13.0,44.8476352,9.666531257696896
Pisa,150.52,92.61,60.84,69.14,48.97,10.1,58.95,48.83,14.33,43.7159395,10.4018624
Pistoia,,89.71,,68.75,39.31,6.33,,70.53,13.0,43.9740957,10.868708114044026
Pordenone,177.67,88.22,59.49,72.1,29.38,4.16,66.91,75.11,30.4,45.9562503,12.6597197
Prato,,94.01,,47.22,48.28,,,40.19,35.0,43.935718050000006,11.09414726770089
Ragusa,,,,46.53,38.51,3.46,,60.43,39.5,36.9219828,14.7213455
Ravenna,,92.15,,62.6,38.78,5.2,,68.3,25.5,44.3640607,12.059009490863945
Reggio Di Calabria,127.31,96.88,50.24,35.0,77.7,4.31,64.27,58.39,25.5,38.1035389,15.6397556
Reggio Nell'emilia,142.51,88.38,71.84,70.43,62.3,7.55,59.57,51.62,17.0,44.6086674,10.594066675914796
Rimini,178.12,90.34,59.78,87.96,32.35,7.94,71.96,55.81,16.75,43.9470982,12.630768610516004
Rome,119.25,93.7,64.97,60.75,62.66,15.52,60.59,47.1,40.54,41.8933203,12.4829321
Salerno,146.83,97.76,52.42,56.02,46.8,11.66,55.84,61.97,26.75,40.41944165,15.310756230322482
Sassuolo,,58.84,,69.44,61.49,,,47.0,33.0,44.5409769,10.7829023
Savona,,95.0,,65.28,44.54,8.16,,47.12,11.0,44.2334238,8.252572737021062
Siena,,91.19,,62.31,27.62,14.0,,70.44,95.0,43.1672254,11.467181161339118
Siracusa,,96.89,,38.89,69.2,15.25,,50.27,60.0,37.0646139,15.290719599999997
Trento,173.31,80.86,63.94,74.4,12.75,12.95,60.81,70.74,30.5,46.1029536,11.12974249416882
Treviso,156.93,89.73,61.69,75.23,49.24,8.58,60.81,75.9,35.56,45.80669135,12.206315763116372
Trieste,161.16,92.64,65.74,68.39,47.6,5.7,62.28,72.83,28.79,45.6496485,13.7772781
Turin,130.94,85.66,60.6,66.36,68.68,8.29,65.17,47.76,27.94,45.0677551,7.6824892
Udine,168.17,88.62,56.76,65.56,38.41,4.74,70.58,62.82,22.43,46.0634632,13.2358377
Varese,137.94,84.67,60.28,55.32,54.99,7.7,67.15,54.09,31.88,45.8397203,8.754133838056571
Venice,130.03,82.39,66.35,66.74,65.41,10.7,56.31,68.57,40.0,45.4371908,12.3345898
Ventimiglia,,94.92,,47.22,65.52,6.77,,44.25,31.0,43.7917623,7.6033131
Verona,145.03,87.02,60.39,68.79,58.3,12.74,64.28,68.55,27.67,45.4384958,10.9924122
Vicenza,,,64.85,78.18,60.54,6.84,61.76,58.98,29.12,45.63485905,11.40635425660249
Viterbo,,,,41.67,51.15,5.49,,66.91,40.0,42.49368885,11.945067829807687
